:	Dot		-	-	-	Group	Group	Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	NOM	AREA EXCAVADA	ue	sencer	Morfologia	GrupM+D	període	diam. Boca	diam max	Dm. Base	Alçada total	Coll	dist Coll-Boca	dist. Max-Boca	ampl Vora	brunyit (A)	engalba (B)	pintat (C)	linea horiz vermella (D)	banda negre (E)	banda vermella (F)	banda blanca (G)	Motius geometrics (H)	
#FF1B9E77	Dot	CER64	esplanada	34	0	1	1CH	3	12.6						0	4.2	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER71	esplanada	34	0	1	1CH	3	10.65	11.4			9.01	4.3	0	4.9	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER70	esplanada	34	0	1	1CH	3	11.45							4.8	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER60	parking privat	23	1	1	1CH	3	12.1	12.1	12.8	32.8	9.7	4.2	0	4.5	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER15	edifici rectorat	7	1	1	1CH	3	11.7	11.7	14.5	34.3	9	3.4	0	4.4	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER62	esplanada	34	1	1	1CH	3	11.4	11.4	12.9	33.4	9.5	4.1	0	4.9	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER63	esplanada	34	1	1	1CH	3	12.1	12.1	13.1	32.1	8.9	4.1	0	4.6	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER68	esplanada	34	0	1	1CH	3	11.06				8.8	3.9		4.4	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER69	esplanada	34	0	1	1CH	3	10.9							4.8	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER59	parking privat	23	0	1	1CH	3	11.5							4.01	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER67	esplanada	34	1	1	1CH	3	11.4	11.4	12.8	33.4	9.5	4.1	0	4.4	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER45	parking public	15	0	1	1CH	3	12.1							4.5	0	0	1	0	0	0	0	1	
#FF1B9E77	Dot	CER44	parking public	15	0	1	1CH	3	12							4.6	0	0	1	0	0	0	0	1	
#FFD95F02	Dot	CER20	edifici rectorat	9	0	2	2A	2	28.4							1.8	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER81	antic campament	41	1	2	2CF	3	27.9	34.5	9.1	21.1	17.2	7	12.3	0.99	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER18	edifici rectorat	4	0	2	2A	2		31.6			18.5			1.6	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER93	voral carretera		1	2	2CF	3	28	33.6	10.5	23.2	19	7.4	12.9	1.3	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER22	edifici rectorat	5	0	2	2A	2	25.7							1.5	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER9	edifici rectorat	3	0	2	2CF	3	26							1.1	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER12	edifici rectorat	3	0	2	2CD	2		34.9			17.9			0.7	0	0	1	1	0	0	0	0	
#FFD95F02	Dot	CER87	antic campament	42	0	2	2A	2	28.8				18.9	7		1.5	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER82	antic campament	41	1	2	2CF	3	26.9	33.7	12.3	29.2	19.05	7.2	12.01	1.3	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER47	parking public	18	1	2	2A	2	26.5	32.5	10.2	23.4	17	5.6	11.1	0.9	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER66	esplanada	34	0	2	2CF	3	28.1				18.7	7.3		0.99	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER19	edifici rectorat	4	1	2	2CF	3	26.9	37.8	10.3	22.3	16.4	8.4	10.8	1.5	0	0	1	0	0	1	0	0	
#FFD95F02	Dot	CER48	parking public	18	1	2	2A	2	25.5	32.5	10.2	23.4	17	5.6	11.1	0.9	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER49	parking public	19	1	2	2A	2	26.4	33.3	10.5	24.4	17.4	8.5	10.1	1.8	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER13	edifici rectorat	7	0	2	2CD	2	28.2							0.8	0	0	1	1	0	0	0	0	
#FFD95F02	Dot	CER25	edifici rectorat	5	0	2	2A	2	28.8	35.9			16.4	7	11.4	1.5	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER95	voral carretera		0	2	2A	2	25.6							1.4	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER78	antic campament	40bis	0	2	2CD	2		31.8			18.9	9.1	10.9	1.2	0	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER77	antic campament	40bis	0	2	2A	2	24.8	32.9			19.7	9.8	11.2	1.6	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER73	esplanada	33bis	0	2	2A	2	27.1							1.6	1	0	0	0	0	0	0	0	
